country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-28,2.654596533267276e-7,748,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-28,3.5595726241538473e-7,1003,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-28,6.047369642630265e-7,1704,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-28,6.462593966684104e-7,1821,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-03-01,1.8729043718649945e-7,555,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-01,2.2238630289351917e-7,659,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-01,2.9662755727375317e-7,879,2963312000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-03-01,5.244132241221984e-7,1554,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-01,9.948328086951358e-7,2948,2963312000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-03-01,1.7041742482735533e-7,505,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-02,2.345348717921029e-7,695,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-02,2.919031138131928e-7,865,2963312000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-03-03,2.102377339949354e-7,623,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-03,2.8144184615052346e-7,834,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-03,3.162002516103603e-7,937,2963312000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-03-04,2.233986836350678e-7,662,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-04,2.362221730280173e-7,700,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-04,3.647945272046953e-7,1081,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-05,2.0652567127592369e-7,612,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-05,2.8785359084699824e-07,853,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-06,2.004513868266318e-7,594,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-06,5.048405297855913e-7,1496,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-07,2.780672436786947e-7,824,2963312000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-03-07,5.294751278299417e-7,1569,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-07,5.318373495602218e-7,1576,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-08,2.68618356757574e-7,796,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-08,4.275621331807113e-7,1267,2963312000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-03-08,5.622087718066812e-7,1666,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-08,5.166516384369921e-7,1531,2963312000
United States,US,USA,0,en.wikipedia,Q208726,Genital wart,188665,2022-03-09,2.416215369829434e-7,716,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-09,2.1529963770267866e-7,638,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-09,3.438719918793566e-7,1019,2963312000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-03-09,5.061903707743228e-7,1500,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-09,5.210386216503696e-7,1544,2963312000
United States,US,USA,0,en.wikipedia,Q208726,Genital wart,188665,2022-03-10,3.458967533624539e-7,1025,2963312000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-10,2.196866209160561e-7,651,2963312000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-10,3.813300793166565e-7,1130,2963312000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-03-10,5.051779900327742e-7,1497,2963312000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-03-10,5.25425604863747e-7,1557,2963312000
